Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
44,0.784761905,0.783809524,0.771428571,0.774285714,0.836190476,0.788571429,0.78,0.756190476,0.75047619,0.832380952,0.777142857,0.773333333,0.745714286,0.761904762,0.831428571,0.10952381,0.761904762,0.74952381,0.10952381,0.833333333
45,0.783809524,0.786666667,0.768571429,0.773333333,0.835238095,0.79047619,0.77047619,0.751428571,0.75047619,0.831428571,0.778095238,0.776190476,0.743809524,0.739047619,0.82952381,0.10952381,0.741904762,0.77047619,0.10952381,0.834285714
46,0.786666667,0.780952381,0.778095238,0.774285714,0.836190476,0.79047619,0.786666667,0.728571429,0.746666667,0.83047619,0.776190476,0.772380952,0.75047619,0.761904762,0.832380952,0.10952381,0.747619048,0.764761905,0.10952381,0.834285714
47,0.783809524,0.784761905,0.771428571,0.772380952,0.836190476,0.78952381,0.78,0.751428571,0.754285714,0.834285714,0.779047619,0.774285714,0.745714286,0.746666667,0.832380952,0.10952381,0.760952381,0.759047619,0.10952381,0.836190476
48,0.792380952,0.78952381,0.773333333,0.772380952,0.837142857,0.78952381,0.776190476,0.758095238,0.751428571,0.837142857,0.78,0.775238095,0.752380952,0.764761905,0.833333333,0.10952381,0.755238095,0.766666667,0.10952381,0.839047619
49,0.785714286,0.785714286,0.76952381,0.776190476,0.837142857,0.78952381,0.774285714,0.753333333,0.754285714,0.838095238,0.783809524,0.777142857,0.742857143,0.763809524,0.833333333,0.10952381,0.74,0.764761905,0.10952381,0.839047619
50,0.787619048,0.786666667,0.777142857,0.775238095,0.838095238,0.78952381,0.778095238,0.740952381,0.753333333,0.84,0.778095238,0.779047619,0.74952381,0.754285714,0.835238095,0.10952381,0.747619048,0.736190476,0.10952381,0.84
51,0.792380952,0.792380952,0.777142857,0.775238095,0.838095238,0.79047619,0.786666667,0.744761905,0.745714286,0.84,0.780952381,0.776190476,0.753333333,0.752380952,0.84,0.10952381,0.740952381,0.764761905,0.10952381,0.84
52,0.79047619,0.79047619,0.774285714,0.778095238,0.839047619,0.788571429,0.783809524,0.753333333,0.756190476,0.840952381,0.779047619,0.778095238,0.752380952,0.763809524,0.84,0.10952381,0.747619048,0.771428571,0.10952381,0.84
53,0.788571429,0.78952381,0.76952381,0.780952381,0.839047619,0.79047619,0.787619048,0.747619048,0.756190476,0.840952381,0.78,0.774285714,0.735238095,0.763809524,0.839047619,0.10952381,0.741904762,0.76,0.10952381,0.839047619
54,0.793333333,0.791428571,0.776190476,0.780952381,0.839047619,0.78952381,0.787619048,0.744761905,0.755238095,0.841904762,0.783809524,0.775238095,0.745714286,0.766666667,0.839047619,0.10952381,0.742857143,0.757142857,0.10952381,0.839047619
